Тип процедуры,Всего с начала года,Среднее январь,Среднее февраль,Среднее март,Среднее апрель,Среднее май,Среднее июнь,Среднее июль,Среднее август,Среднее сентябрь
Запрос предложений,3392,"7,3548387096774","14,8214285714285","12,8709677419354","13,1666666666666","10,9032258064516","14,6999999999999","13,8064516129032","16,3225806451612","12,7368421052631"
Редукцион,11,"0,0645161290323","0,0714285714286","0,0322580645161","0,0333333333333","0,0322580645161","0,0333333333333","0,0645161290323","0,0322580645161","0,0000000000000"
Мониторинг цен,3323,"9,4516129032258","12,0000000000000","13,0000000000000","11,3000000000000","12,0000000000000","12,6000000000000","12,5483870967741","15,4516129032258","17,5789473684210"
Переторжка в заочной форме,340,"0,9354838709677","0,7857142857143","1,2258064516129","1,1666666666667","1,0322580645161","1,6000000000000","1,8064516129032","1,7096774193548","1,4210526315789"
Запрос цен,4023,"7,8709677419355","18,0000000000000","15,7419354838709","15,0000000000000","13,1612903225806","17,7333333333333","16,3225806451612","19,1612903225806","15,6315789473684"
Переторжка в режиме реального времени,550,"1,1612903225806","1,8214285714286","3,0322580645161","2,4000000000000","2,0645161290323","2,1000000000000","2,2580645161290","1,9354838709677","2,1052631578947"
Конкурс,342,"1,0000000000000","1,7857142857143","1,1290322580645","1,0666666666667","0,7419354838710","1,7666666666667","1,3225806451613","1,7741935483871","1,1578947368421"
Аукцион,56,"0,1290322580645","0,2857142857143","0,1612903225806","0,1666666666667","0,2580645161290","0,1333333333333","0,1935483870968","0,2903225806452","0,3684210526316"
Все типы,11147,"25,8709677419355","46,9642857142856","42,9354838709676","40,7333333333333","37,0967741935483","46,9666666666665","44,2580645161288","53,032258064516","47,4736842105262"
,,,,,,,,,,
Тип процедуры,Всего с начала года,Среднее январь,Среднее февраль,Среднее март,Среднее апрель,Среднее май,Среднее июнь,Среднее июль,Среднее август,Среднее сентябрь
Запрос предложений,3392,"7,3548387096774","14,8214285714285","12,8709677419354","13,1666666666666","10,9032258064516","14,6999999999999","13,8064516129032","16,3225806451612","12,7368421052631"
Редукцион,11,"0,0645161290323","0,0714285714286","0,0322580645161","0,0333333333333","0,0322580645161","0,0333333333333","0,0645161290323","0,0322580645161","0,0000000000000"
Мониторинг цен,3323,"9,4516129032258","12,0000000000000","13,0000000000000","11,3000000000000","12,0000000000000","12,6000000000000","12,5483870967741","15,4516129032258","17,5789473684210"
Переторжка в заочной форме,340,"0,9354838709677","0,7857142857143","1,2258064516129","1,1666666666667","1,0322580645161","1,6000000000000","1,8064516129032","1,7096774193548","1,4210526315789"
Запрос цен,4023,"7,8709677419355","18,0000000000000","15,7419354838709","15,0000000000000","13,1612903225806","17,7333333333333","16,3225806451612","19,1612903225806","15,6315789473684"
Переторжка в режиме реального времени,550,"1,1612903225806","1,8214285714286","3,0322580645161","2,4000000000000","2,0645161290323","2,1000000000000","2,2580645161290","1,9354838709677","2,1052631578947"
Конкурс,342,"1,0000000000000","1,7857142857143","1,1290322580645","1,0666666666667","0,7419354838710","1,7666666666667","1,3225806451613","1,7741935483871","1,1578947368421"
Аукцион,56,"0,1290322580645","0,2857142857143","0,1612903225806","0,1666666666667","0,2580645161290","0,1333333333333","0,1935483870968","0,2903225806452","0,3684210526316"
Все типы,11147,"25,8709677419355","46,9642857142856","42,9354838709676","40,7333333333333","37,0967741935483","46,9666666666665","44,2580645161288","53,032258064516","47,4736842105262"
,,,,,,,,,,
,,,,,,,,,,
Тип процедуры,Всего с начала года,Среднее январь,Среднее февраль,Среднее март,Среднее апрель,Среднее май,Среднее июнь,Среднее июль,Среднее август,Среднее сентябрь
Запрос предложений,3392,"7,3548387096774","14,8214285714285","12,8709677419354","13,1666666666666","10,9032258064516","14,6999999999999","13,8064516129032","16,3225806451612","12,7368421052631"
Редукцион,11,"0,0645161290323","0,0714285714286","0,0322580645161","0,0333333333333","0,0322580645161","0,0333333333333","0,0645161290323","0,0322580645161","0,0000000000000"
Мониторинг цен,3323,"9,4516129032258","12,0000000000000","13,0000000000000","11,3000000000000","12,0000000000000","12,6000000000000","12,5483870967741","15,4516129032258","17,5789473684210"
Переторжка в заочной форме,340,"0,9354838709677","0,7857142857143","1,2258064516129","1,1666666666667","1,0322580645161","1,6000000000000","1,8064516129032","1,7096774193548","1,4210526315789"
Запрос цен,4023,"7,8709677419355","18,0000000000000","15,7419354838709","15,0000000000000","13,1612903225806","17,7333333333333","16,3225806451612","19,1612903225806","15,6315789473684"
Переторжка в режиме реального времени,550,"1,1612903225806","1,8214285714286","3,0322580645161","2,4000000000000","2,0645161290323","2,1000000000000","2,2580645161290","1,9354838709677","2,1052631578947"
Конкурс,342,"1,0000000000000","1,7857142857143","1,1290322580645","1,0666666666667","0,7419354838710","1,7666666666667","1,3225806451613","1,7741935483871","1,1578947368421"
Аукцион,56,"0,1290322580645","0,2857142857143","0,1612903225806","0,1666666666667","0,2580645161290","0,1333333333333","0,1935483870968","0,2903225806452","0,3684210526316"
Все типы,11147,"25,8709677419355","46,9642857142856","42,9354838709676","40,7333333333333","37,0967741935483","46,9666666666665","44,2580645161288","53,032258064516","47,4736842105262"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Тип процедуры,Всего с начала года,Среднее январь,Среднее февраль,Среднее март,Среднее апрель,Среднее май,Среднее июнь,Среднее июль,Среднее август,Среднее сентябрь
Запрос предложений,3392,"7,3548387096774","14,8214285714285","12,8709677419354","13,1666666666666","10,9032258064516","14,6999999999999","13,8064516129032","16,3225806451612","12,7368421052631"
Редукцион,11,"0,0645161290323","0,0714285714286","0,0322580645161","0,0333333333333","0,0322580645161","0,0333333333333","0,0645161290323","0,0322580645161","0,0000000000000"
Мониторинг цен,3323,"9,4516129032258","12,0000000000000","13,0000000000000","11,3000000000000","12,0000000000000","12,6000000000000","12,5483870967741","15,4516129032258","17,5789473684210"
Переторжка в заочной форме,340,"0,9354838709677","0,7857142857143","1,2258064516129","1,1666666666667","1,0322580645161","1,6000000000000","1,8064516129032","1,7096774193548","1,4210526315789"
Запрос цен,4023,"7,8709677419355","18,0000000000000","15,7419354838709","15,0000000000000","13,1612903225806","17,7333333333333","16,3225806451612","19,1612903225806","15,6315789473684"
Переторжка в режиме реального времени,550,"1,1612903225806","1,8214285714286","3,0322580645161","2,4000000000000","2,0645161290323","2,1000000000000","2,2580645161290","1,9354838709677","2,1052631578947"
Конкурс,342,"1,0000000000000","1,7857142857143","1,1290322580645","1,0666666666667","0,7419354838710","1,7666666666667","1,3225806451613","1,7741935483871","1,1578947368421"
Аукцион,56,"0,1290322580645","0,2857142857143","0,1612903225806","0,1666666666667","0,2580645161290","0,1333333333333","0,1935483870968","0,2903225806452","0,3684210526316"
Все типы,11147,"25,8709677419355","46,9642857142856","42,9354838709676","40,7333333333333","37,0967741935483","46,9666666666665","44,2580645161288","53,032258064516","47,4736842105262"
